Image,Start,End,Sift
configure,1580452180.465399,1580452180.470276,0
connect,1580452180.474117,1580452181.475389,0
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA256832V0230_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111225130502_103001001071A100_11DEC25130502-M1BS-052888272030_01_P001_u08rf3031.tif,1580452181.480151,1580452190.771013,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA305300V0089_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111227133152_1030010010368D00_11DEC27133152-M1BS-052888284040_01_P001_u08rf3031.tif,1580452190.776975,1580452195.906858,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Aerial/CA305300V0089_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BEAU/Satellite/WV02_20111212160201_103001000FBF5200_11DEC12160201-M1BS-052850989070_01_P001_u08rf3031.tif,1580452195.912368,1580452200.994245,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0004_Panel3.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20160123205233_1030010051A98200_16JAN23205233-M1BS-500638387040_01_P001_u08rf3031.tif,1580452200.999998,1580452204.021766,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0002_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20151216141822_103001004FACD500_15DEC16141822-M1BS-500637522020_01_P008_u08rf3031.tif,1580452204.027366,1580452207.542863,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Aerial/CA257132V0003_Panel2.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDN/Satellite/WV02_20160123205234_1030010051A98200_16JAN23205234-M1BS-500638387040_01_P002_u08rf3031.tif,1580452207.548261,1580452210.569663,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Aerial/CA256932V0249_Panel4.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Satellite/WV02_20151216141939_103001004D155E00_15DEC16141939-M1BS-500637503050_01_P007_u08rf3031.tif,1580452210.575258,1580452218.714014,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Aerial/CA256932V0246_Panel1.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Satellite/WV02_20151216141820_103001004FACD500_15DEC16141820-M1BS-500637522020_01_P007_u08rf3031.tif,1580452218.720384,1580452225.044591,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Aerial/CA256932V0250_Panel5.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/BRDS/Satellite/WV02_20151205205948_103001004E6C0B00_15DEC05205948-M1BS-500637505080_01_P002_u08rf3031.tif,1580452225.051073,1580452232.865466,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Aerial/CA256132V0145_CROZ_9Dec1983.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Satellite/WV02_20110201205548_1030010009810400_11FEB01205548-M1BS-052549109050_01_P002_u08rf3031.tif,1580452232.87176,1580452238.838282,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Aerial/CA256132V0145_CROZ_9Dec1983.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Satellite/WV02_20110131195115_1030010009CCF900_11JAN31195115-M1BS-052549143040_01_P003_u08rf3031.tif,1580452238.844884,1580452244.903171,1
/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Aerial/CA256132V0145_CROZ_9Dec1983.tif_/pylon5/mc3bggp/aymen/Penguin_colonies_2000Pix/CROZ/Satellite/WV02_20151215213103_103001004F719300_15DEC15213103-M1BS-500638401100_01_P006_u08rf3031.tif,1580452244.909049,1580452251.524931,1
disconnect,1580452251.531,1580452252.53221,0
