Image,Start,End,Sift
configure,1581713291.110027,1581713291.113175,0
connect,1581713291.117098,1581713293.120243,0
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[NMED]_WV02_20170930134017_1030010073AE9700_17SEP30134017-P1BS-501676503060_01_P001_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[NMED]_WV02_20170930134017_1030010073AE9700_17SEP30134017-P1BS-501676503060_01_P001_u08rf3031.tif,1581713293.126463,1581713297.563789,1
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[NMED]_WV02_20170930134017_1030010073AE9700_17SEP30134017-P1BS-501676503060_01_P001_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[NMED]_WV02_20171203124635_1030010075398700_17DEC03124635-P1BS-501937021010_01_P007_u08rf3031.tif,1581713297.570837,1581713300.169597,1
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[NMED]_WV02_20170930134017_1030010073AE9700_17SEP30134017-P1BS-501676503060_01_P001_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[NMED]_WV02_20171203124741_10300100758B3600_17DEC03124741-P1BS-501945946060_01_P006_u08rf3031.tif,1581713300.175546,1581713302.822593,1
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV01_20170619155208_102001005EBDB900_17JUN19155208-P1BS-501550656030_01_P002_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV01_20170619155208_102001005EBDB900_17JUN19155208-P1BS-501550656030_01_P002_u08rf3031.tif,1581713302.828364,1581713307.714146,1
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV01_20170619155208_102001005EBDB900_17JUN19155208-P1BS-501550656030_01_P002_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV03_20170828130028_1040010032227400_17AUG28130028-P1BS-501603139060_01_P002_u08rf3031.tif,1581713307.720219,1581713311.129844,1
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV01_20170619155208_102001005EBDB900_17JUN19155208-P1BS-501550656030_01_P002_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV03_20170710131358_104001002F525400_17JUL10131358-P1BS-501992562040_01_P002_u08rf3031.tif,1581713311.136316,1581713315.881123,1
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV01_20170619155208_102001005EBDB900_17JUN19155208-P1BS-501550656030_01_P002_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[FERR]_WV03_20180316130304_104001003A365900_18MAR16130304-P1BS-502110259010_01_P003_u08rf3031.tif,1581713315.886957,1581713319.766338,1
/pylon5/mc3bggp/aymen/geolocation_dataset_new/[BRDM]_WV02_20160202144926_103001005099E200_16FEB02144926-P1BS-500637503070_01_P008_u08rf3031.tif_/pylon5/mc3bggp/aymen/geolocation_dataset_new/[BRDM]_WV01_20170913232620_102001006652AE00_17SEP13232620-P1BS-501644265070_01_P006_u08rf3031.tif,1581713319.772307,1581713330.534785,1
